Orthogroup	MHP_MHP682_genes	MFC_MF11_genes
OG0000000	DR097_RS02690	DR093_RS02920
OG0000001	DR097_RS00335, DR097_RS04145, DR097_RS04155	DR093_RS00830, DR093_RS00825
OG0000002	DR097_RS04855	DR093_RS04025
OG0000002	DR097_RS04675	DR093_RS03845
OG0000003	DR097_RS04840	DR093_RS04030
OG0000007	DR097_RS03435	DR093_RS02845
OG0000007	DR097_RS03440	DR093_RS02840
OG0000007	DR097_RS03450	DR093_RS02835
OG0000011	DR097_RS00820	DR093_RS03025
OG0000011	DR097_RS00825	DR093_RS03260
OG0000013	DR097_RS02175	DR093_RS01095, DR093_RS01090
OG0000013	DR097_RS03895	DR093_RS03220
OG0000014	DR097_RS03860, DR097_RS03370	DR093_RS03805
OG0000016	DR097_RS01165	DR093_RS00770
OG0000016	DR097_RS00270	DR093_RS00190
OG0000017	DR097_RS00285	DR093_RS00175
OG0000017	DR097_RS01175	DR093_RS00760
OG0000018	DR097_RS04695	DR093_RS03935
OG0000019	DR097_RS03615	DR093_RS03125, DR093_RS03265
OG0000020	DR097_RS04835	DR093_RS03835
OG0000020	DR097_RS04830	DR093_RS03830
OG0000022	DR097_RS04680	DR093_RS03840
OG0000023	DR097_RS01710, DR097_RS02020	DR093_RS01985
OG0000024	DR097_RS01795, DR097_RS00345	DR093_RS00835
OG0000025	DR097_RS01845	DR093_RS01230
OG0000026	DR097_RS01665, DR097_RS01865	DR093_RS02030
OG0000027	DR097_RS02965	DR093_RS01425
OG0000027	DR097_RS04560	DR093_RS03885
OG0000028	DR097_RS04690	DR093_RS01110
OG0000029	DR097_RS02335	DR093_RS00605
OG0000030	DR097_RS04775, DR097_RS04565	DR093_RS03890
OG0000031	DR097_RS02075, DR097_RS03120	DR093_RS02685
OG0000032	DR097_RS04795, DR097_RS00730	DR093_RS01420
OG0000039	DR097_RS04950	DR093_RS00665
OG0000040	DR097_RS03560	DR093_RS02380, DR093_RS03230
OG0000042	DR097_RS01265	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	DR097_RS00855	DR093_RS02660
OG0000045	DR097_RS03525	DR093_RS00670
OG0000047	DR097_RS02010	DR093_RS00840
OG0000048	DR097_RS02830	DR093_RS03685, DR093_RS03690
OG0000049	DR097_RS01470	DR093_RS03590
OG0000050	DR097_RS01960	DR093_RS04015
OG0000051	DR097_RS01545	DR093_RS01745
OG0000052	DR097_RS02480	DR093_RS00140
OG0000053	DR097_RS04845	DR093_RS03940
OG0000054	DR097_RS01935	DR093_RS01140
OG0000056	DR097_RS00545	DR093_RS01205
OG0000057	DR097_RS01250	DR093_RS00685
OG0000062	DR097_RS02590	DR093_RS00025
OG0000063	DR097_RS04735	DR093_RS03775
OG0000064	DR097_RS02605	DR093_RS00010
OG0000065	DR097_RS02745	DR093_RS01890
OG0000066	DR097_RS01675	DR093_RS02020
OG0000068	DR097_RS03055	DR093_RS00640
OG0000069	DR097_RS01725	DR093_RS00795
OG0000070	DR097_RS01930	DR093_RS01120
OG0000071	DR097_RS03575	DR093_RS02370
OG0000072	DR097_RS03580, DR097_RS04860	DR093_RS03980
OG0000073	DR097_RS01115	DR093_RS02505
OG0000074	DR097_RS04605	DR093_RS03915
OG0000075	DR097_RS00090	DR093_RS00360
OG0000076	DR097_RS00075	DR093_RS00375
OG0000077	DR097_RS03275	DR093_RS00460
OG0000078	DR097_RS01875	DR093_RS00930
OG0000079	DR097_RS02640	DR093_RS01040
OG0000080	DR097_RS04360	DR093_RS03415
OG0000081	DR097_RS00095	DR093_RS00355
OG0000082	DR097_RS02165	DR093_RS01100
OG0000083	DR097_RS00750	DR093_RS02955
OG0000084	DR097_RS03685	DR093_RS02790
OG0000085	DR097_RS02875	DR093_RS02785
OG0000086	DR097_RS02865	DR093_RS04020
OG0000087	DR097_RS02850	DR093_RS02760
OG0000088	DR097_RS02845	DR093_RS02755
OG0000089	DR097_RS02835	DR093_RS02745
OG0000090	DR097_RS02485	DR093_RS00130
OG0000091	DR097_RS02775	DR093_RS00115
OG0000092	DR097_RS02790	DR093_RS00100
OG0000093	DR097_RS02795	DR093_RS00095
OG0000094	DR097_RS02800	DR093_RS04155
OG0000095	DR097_RS03550	DR093_RS00065
OG0000096	DR097_RS03545	DR093_RS00060
OG0000097	DR097_RS02575	DR093_RS00040
OG0000098	DR097_RS02585	DR093_RS00030
OG0000099	DR097_RS03665	DR093_RS01200
OG0000100	DR097_RS00555	DR093_RS01210
OG0000101	DR097_RS00560	DR093_RS01215
OG0000102	DR097_RS01850	DR093_RS01225
OG0000103	DR097_RS02710	DR093_RS01855
OG0000104	DR097_RS02715	DR093_RS01860
OG0000105	DR097_RS02730	DR093_RS01875
OG0000106	DR097_RS02740	DR093_RS01885
OG0000107	DR097_RS02750	DR093_RS01895
OG0000108	DR097_RS02755	DR093_RS01900
OG0000109	DR097_RS02760	DR093_RS01905
OG0000110	DR097_RS02155	DR093_RS01910
OG0000111	DR097_RS02150	DR093_RS01915
OG0000112	DR097_RS02140	DR093_RS01925
OG0000113	DR097_RS04705	DR093_RS03930
OG0000114	DR097_RS02110	DR093_RS01950
OG0000115	DR097_RS02095	DR093_RS01960
OG0000116	DR097_RS00320	DR093_RS01970
OG0000117	DR097_RS00315	DR093_RS01975
