Orthogroup	MHP_7448_genes	MHP_TB1_genes
OG0000000	MHP7448_RS02135	B5M19_RS04470
OG0000000	MHP7448_RS02245	B5M19_RS03770
OG0000000	MHP7448_RS01735	B5M19_RS02095
OG0000000	MHP7448_RS01740	B5M19_RS02100
OG0000001	MHP7448_RS01300	B5M19_RS02595
OG0000001	MHP7448_RS01295	B5M19_RS04385
OG0000001	MHP7448_RS02820	B5M19_RS02555
OG0000001	MHP7448_RS04045	B5M19_RS02510
OG0000002	MHP7448_RS03995	B5M19_RS04465
OG0000002	MHP7448_RS01745	B5M19_RS02105
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	B5M19_RS04550
OG0000003	MHP7448_RS03870	B5M19_RS03885
OG0000004	MHP7448_RS03245	B5M19_RS04240
OG0000005	MHP7448_RS00100	B5M19_RS00020
OG0000005	MHP7448_RS00105	B5M19_RS00030
OG0000005	MHP7448_RS00110, MHP7448_RS00125	B5M19_RS04010, B5M19_RS04005
OG0000006	MHP7448_RS04025	B5M19_RS03635
OG0000006	MHP7448_RS02380	B5M19_RS02695
OG0000008	MHP7448_RS02240	B5M19_RS03790
OG0000008	MHP7448_RS01665	B5M19_RS03340
OG0000008	MHP7448_RS04030	B5M19_RS04540
OG0000009	MHP7448_RS00675	B5M19_RS04475
OG0000009	MHP7448_RS00690	B5M19_RS04265
OG0000010	MHP7448_RS01885	B5M19_RS00670
OG0000010	MHP7448_RS00095	B5M19_RS00015
OG0000011	MHP7448_RS01970	B5M19_RS04080
OG0000011	MHP7448_RS01965	B5M19_RS00765
OG0000013	MHP7448_RS02430	B5M19_RS02640
OG0000013	MHP7448_RS03945	B5M19_RS00100
OG0000014	MHP7448_RS01090	B5M19_RS03715
OG0000014	MHP7448_RS00605	B5M19_RS03505
OG0000015	MHP7448_RS04005, MHP7448_RS04000	B5M19_RS02335
OG0000015	MHP7448_RS01650	B5M19_RS03260
OG0000016	MHP7448_RS02865	B5M19_RS01425
OG0000016	MHP7448_RS00170	B5M19_RS00080, B5M19_RS04015
OG0000017	MHP7448_RS00155	B5M19_RS00065
OG0000017	MHP7448_RS02875	B5M19_RS01415
OG0000018	MHP7448_RS02275	B5M19_RS02315
OG0000020	MHP7448_RS03580	B5M19_RS04305
OG0000020	MHP7448_RS03585	B5M19_RS02010
OG0000021	MHP7448_RS03950	B5M19_RS03625
OG0000022	MHP7448_RS01680	B5M19_RS02040
OG0000022	MHP7448_RS01730	B5M19_RS02090
OG0000023	MHP7448_RS04010	B5M19_RS04365
OG0000024	MHP7448_RS02765	B5M19_RS02500
OG0000024	MHP7448_RS01290	B5M19_RS04395, B5M19_RS04390
OG0000025	MHP7448_RS01685	B5M19_RS04315
OG0000025	MHP7448_RS01725	B5M19_RS02085
OG0000026	MHP7448_RS01380	B5M19_RS01210
OG0000026	MHP7448_RS01705	B5M19_RS02065
OG0000027	MHP7448_RS03845	B5M19_RS00565
OG0000027	MHP7448_RS03390	B5M19_RS00550
OG0000029	MHP7448_RS01085	B5M19_RS03200
OG0000029	MHP7448_RS00610	B5M19_RS04520, B5M19_RS03510
OG0000030	MHP7448_RS03370	B5M19_RS00570
OG0000030	MHP7448_RS03385	B5M19_RS00555
OG0000031	MHP7448_RS02310	B5M19_RS04360
OG0000032	MHP7448_RS03380	B5M19_RS00560
OG0000035	MHP7448_RS03240	B5M19_RS01610
OG0000035	MHP7448_RS03225	B5M19_RS04235
OG0000036	MHP7448_RS00115, MHP7448_RS00130	B5M19_RS00040
OG0000037	MHP7448_RS03970	B5M19_RS04485, B5M19_RS04490
OG0000039	MHP7448_RS01635	B5M19_RS03320
OG0000040	MHP7448_RS03315	B5M19_RS02985
OG0000041	MHP7448_RS00680	B5M19_RS03050
OG0000041	MHP7448_RS01195	B5M19_RS04355
OG0000042	MHP7448_RS02965	B5M19_RS01320
OG0000043	MHP7448_RS01935	B5M19_RS00735
OG0000043	MHP7448_RS02315	B5M19_RS02270
OG0000045	MHP7448_RS01640	B5M19_RS03325
OG0000047	MHP7448_RS01590	B5M19_RS03245
OG0000047	MHP7448_RS02290	B5M19_RS02295
OG0000048	MHP7448_RS02115	B5M19_RS03695
OG0000049	MHP7448_RS03085	B5M19_RS01455
OG0000050	MHP7448_RS02470	B5M19_RS02825
OG0000051	MHP7448_RS02675	B5M19_RS04110
OG0000052	MHP7448_RS00075	B5M19_RS00005
OG0000053	MHP7448_RS01465	B5M19_RS01120
OG0000054	MHP7448_RS02495	B5M19_RS02800
OG0000055	MHP7448_RS00135	B5M19_RS00045
OG0000056	MHP7448_RS03565	B5M19_RS00375
OG0000057	MHP7448_RS02950	B5M19_RS01340
OG0000058	MHP7448_RS02335	B5M19_RS02250
OG0000059	MHP7448_RS02325	B5M19_RS03915
OG0000059	MHP7448_RS02320	B5M19_RS02265
OG0000060	MHP7448_RS00080	B5M19_RS03995
OG0000062	MHP7448_RS03615	B5M19_RS01970
OG0000063	MHP7448_RS03610	B5M19_RS01975
OG0000064	MHP7448_RS03600	B5M19_RS01990
OG0000065	MHP7448_RS02180	B5M19_RS02925
OG0000066	MHP7448_RS01370	B5M19_RS01220
OG0000067	MHP7448_RS00525	B5M19_RS02375
OG0000068	MHP7448_RS00655	B5M19_RS04480
OG0000069	MHP7448_RS02835	B5M19_RS03520
OG0000070	MHP7448_RS02500	B5M19_RS02795
OG0000071	MHP7448_RS03305	B5M19_RS02995
OG0000072	MHP7448_RS03310	B5M19_RS02990
OG0000073	MHP7448_RS00715	B5M19_RS01840
OG0000074	MHP7448_RS03660	B5M19_RS01645
OG0000075	MHP7448_RS00340	B5M19_RS00265
OG0000076	MHP7448_RS00355	B5M19_RS00280
OG0000077	MHP7448_RS00445	B5M19_RS03440
OG0000079	MHP7448_RS02580	B5M19_RS01010
OG0000080	MHP7448_RS03915	B5M19_RS03900
OG0000081	MHP7448_RS00335	B5M19_RS00260
OG0000082	MHP7448_RS02425	B5M19_RS04420, B5M19_RS04415
OG0000083	MHP7448_RS02040	B5M19_RS00845
OG0000084	MHP7448_RS02065	B5M19_RS02760
OG0000085	MHP7448_RS02070	B5M19_RS02755
OG0000086	MHP7448_RS02080	B5M19_RS02745
OG0000087	MHP7448_RS02095	B5M19_RS02730
OG0000088	MHP7448_RS02100	B5M19_RS02725
OG0000089	MHP7448_RS02110	B5M19_RS03690
OG0000090	MHP7448_RS00070	B5M19_RS03775
OG0000091	MHP7448_RS00055	B5M19_RS04280
OG0000092	MHP7448_RS00040	B5M19_RS01895
OG0000093	MHP7448_RS00035	B5M19_RS01900
OG0000094	MHP7448_RS00030	B5M19_RS01905
OG0000095	MHP7448_RS00005	B5M19_RS04290
OG0000096	MHP7448_RS03655	B5M19_RS01935
OG0000097	MHP7448_RS03635	B5M19_RS01955
OG0000098	MHP7448_RS03620	B5M19_RS04295
OG0000099	MHP7448_RS03570	B5M19_RS00370
OG0000100	MHP7448_RS03555	B5M19_RS00385
OG0000101	MHP7448_RS03550	B5M19_RS00390
OG0000102	MHP7448_RS01720	B5M19_RS02080
OG0000103	MHP7448_RS02145	B5M19_RS02960
OG0000104	MHP7448_RS02150	B5M19_RS04460
OG0000105	MHP7448_RS02165	B5M19_RS02940
OG0000106	MHP7448_RS02175	B5M19_RS02930
OG0000107	MHP7448_RS02185	B5M19_RS04455
OG0000108	MHP7448_RS02190	B5M19_RS04620
OG0000109	MHP7448_RS02195	B5M19_RS02910
OG0000110	MHP7448_RS02410	B5M19_RS02660
OG0000111	MHP7448_RS02405	B5M19_RS02665
OG0000112	MHP7448_RS02395	B5M19_RS02675
OG0000113	MHP7448_RS02375	B5M19_RS02700
OG0000114	MHP7448_RS02365	B5M19_RS02710
OG0000115	MHP7448_RS02355	B5M19_RS03610
OG0000116	MHP7448_RS01315	B5M19_RS02580
OG0000117	MHP7448_RS01320	B5M19_RS02575
OG0000118	MHP7448_RS01355	B5M19_RS01235
OG0000119	MHP7448_RS01360	B5M19_RS01230
OG0000120	MHP7448_RS01375	B5M19_RS01215
OG0000121	MHP7448_RS01400	B5M19_RS01190
OG0000122	MHP7448_RS01405	B5M19_RS01185
OG0000123	MHP7448_RS01425	B5M19_RS01165
OG0000124	MHP7448_RS01430	B5M19_RS01160
OG0000125	MHP7448_RS01435	B5M19_RS01155
OG0000126	MHP7448_RS01445	B5M19_RS01145
OG0000127	MHP7448_RS01455	B5M19_RS01135
OG0000128	MHP7448_RS01470	B5M19_RS01115
OG0000129	MHP7448_RS01475	B5M19_RS01110
OG0000130	MHP7448_RS01485	B5M19_RS01100
OG0000131	MHP7448_RS01515	B5M19_RS01075
OG0000132	MHP7448_RS01530	B5M19_RS01060
OG0000133	MHP7448_RS00530	B5M19_RS02380
