Orthogroup	MHP_153B_genes	MHP_98_genes
OG0000000	NB625_RS02335	GOM18_RS02340
OG0000000	NB625_RS02465	GOM18_RS02460
OG0000000	NB625_RS01725	GOM18_RS03685
OG0000001	NB625_RS01285, NB625_RS01280	GOM18_RS03240
OG0000001	NB625_RS02955	GOM18_RS03125
OG0000001	NB625_RS02910	GOM18_RS04125
OG0000002	NB625_RS02350	GOM18_RS02350
OG0000002	NB625_RS02340	GOM18_RS02345
OG0000002	NB625_RS01730	GOM18_RS04550
OG0000003	NB625_RS01830	GOM18_RS03375, GOM18_RS03370
OG0000004	NB625_RS03355	GOM18_RS00895
OG0000004	NB625_RS03360	GOM18_RS00890
OG0000004	NB625_RS03370	GOM18_RS00880
OG0000005	NB625_RS00100	GOM18_RS03145
OG0000005	NB625_RS00105	GOM18_RS04540
OG0000006	NB625_RS02650	GOM18_RS01950
OG0000006	NB625_RS02500	GOM18_RS02495
OG0000008	NB625_RS02460	GOM18_RS02455
OG0000008	NB625_RS02660	GOM18_RS03975
OG0000009	NB625_RS01020	GOM18_RS00095
OG0000009	NB625_RS00085	GOM18_RS00665
OG0000009	NB625_RS01005	GOM18_RS00110
OG0000010	NB625_RS01850	GOM18_RS03360, GOM18_RS04460, GOM18_RS04060, GOM18_RS03805
OG0000011	NB625_RS01950	GOM18_RS03250
OG0000012	NB625_RS01865	GOM18_RS03340
OG0000013	NB625_RS02545	GOM18_RS02545
OG0000013	NB625_RS00190	GOM18_RS03935
OG0000015	NB625_RS02065	GOM18_RS00005
OG0000015	NB625_RS01630, NB625_RS01580	GOM18_RS02565
OG0000016	NB625_RS02995	GOM18_RS01215
OG0000016	NB625_RS00175	GOM18_RS01280
OG0000017	NB625_RS00160	GOM18_RS01265
OG0000017	NB625_RS03005	GOM18_RS01205
OG0000018	NB625_RS02090	GOM18_RS04240
OG0000020	NB625_RS03695	GOM18_RS03770, GOM18_RS03765
OG0000021	NB625_RS01755	GOM18_RS03345
OG0000021	NB625_RS01760	GOM18_RS03065
OG0000022	NB625_RS01665	GOM18_RS03040
OG0000022	NB625_RS01720	GOM18_RS04500
OG0000023	NB625_RS01320	GOM18_RS02835, GOM18_RS00025
OG0000024	NB625_RS02905	GOM18_RS03075
OG0000024	NB625_RS01275	GOM18_RS03225
OG0000025	NB625_RS01670	GOM18_RS04510
OG0000025	NB625_RS01715	GOM18_RS04505
OG0000026	NB625_RS01365	GOM18_RS02790
OG0000026	NB625_RS01695	GOM18_RS03010
OG0000027	NB625_RS03505	GOM18_RS04335
OG0000028	NB625_RS02565	GOM18_RS01870
OG0000029	NB625_RS00600	GOM18_RS01705
OG0000029	NB625_RS01080	GOM18_RS03580
OG0000030	NB625_RS03495	GOM18_RS04340
OG0000031	NB625_RS02145	GOM18_RS00085
OG0000031	NB625_RS01605	GOM18_RS03625
OG0000032	NB625_RS01585	GOM18_RS02560
OG0000035	NB625_RS03365	GOM18_RS00885
OG0000036	NB625_RS00110, NB625_RS00130	GOM18_RS03585
OG0000037	NB625_RS01595	GOM18_RS02550
OG0000038	NB625_RS01745	GOM18_RS03510
OG0000038	NB625_RS00500	GOM18_RS01605
OG0000039	NB625_RS01615	GOM18_RS03565
OG0000040	NB625_RS03440	GOM18_RS00810
OG0000041	NB625_RS01015	GOM18_RS00100
OG0000041	NB625_RS01195	GOM18_RS02975
OG0000042	NB625_RS03095	GOM18_RS01120
OG0000043	NB625_RS01915	GOM18_RS03285
OG0000044	NB625_RS01680	GOM18_RS04585
OG0000045	NB625_RS01620	GOM18_RS03555
OG0000046	NB625_RS03445	GOM18_RS03875
OG0000047	NB625_RS02080	GOM18_RS00015
OG0000048	NB625_RS02195	GOM18_RS02325
OG0000049	NB625_RS03205	GOM18_RS01035
OG0000050	NB625_RS02595	GOM18_RS01900
OG0000051	NB625_RS02810	GOM18_RS02100
OG0000052	NB625_RS00075	GOM18_RS00655
OG0000053	NB625_RS01450, NB625_RS01455	GOM18_RS04480
OG0000054	NB625_RS02620	GOM18_RS01925
OG0000055	NB625_RS00135	GOM18_RS01245
OG0000056	NB625_RS03680	GOM18_RS00495
OG0000057	NB625_RS03080	GOM18_RS01135
OG0000058	NB625_RS02155	GOM18_RS00090
OG0000059	NB625_RS02135, NB625_RS02125	GOM18_RS03660
OG0000060	NB625_RS00080	GOM18_RS03800
OG0000061	NB625_RS01860	GOM18_RS03350
OG0000062	NB625_RS03725	GOM18_RS00545
OG0000063	NB625_RS03720	GOM18_RS04295
OG0000064	NB625_RS03710	GOM18_RS00530
OG0000065	NB625_RS02395	GOM18_RS02395
OG0000066	NB625_RS01355	GOM18_RS02800
OG0000067	NB625_RS00525	GOM18_RS01630
OG0000068	NB625_RS01040	GOM18_RS03445
OG0000069	NB625_RS02975	GOM18_RS01240, GOM18_RS03140
OG0000070	NB625_RS02625	GOM18_RS01930
OG0000071	NB625_RS03430	GOM18_RS00820
OG0000072	NB625_RS03435	GOM18_RS04355
OG0000073	NB625_RS00980	GOM18_RS00135
OG0000074	NB625_RS00780	GOM18_RS04260
OG0000075	NB625_RS00345	GOM18_RS01450
OG0000076	NB625_RS00360	GOM18_RS01465
OG0000077	NB625_RS00445	GOM18_RS01550
OG0000078	NB625_RS01685	GOM18_RS03020
OG0000079	NB625_RS02710	GOM18_RS02005
OG0000080	NB625_RS02760	GOM18_RS03980
