#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP142079.1:766853-768592|- -            580 539at2085            -            541  1.7e-246  814.4  14.4   1   1  1.1e-248  1.9e-246  814.2  14.4     1   541     8   574     8   574 0.97 NZ_CP142079.1_600 # 766853 # 768592 # -1 # ID=1_600;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_CP142079.1:70027-71001|+   -            325 539at2085            -            541   3.1e-10   34.6   1.1   1   2   6.8e-09   1.2e-06   22.8   0.1   235   346    26   137    19   141 0.88 NZ_CP142079.1_60 # 70027 # 71001 # 1 # ID=1_60;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.309
NZ_CP142079.1:70027-71001|+   -            325 539at2085            -            541   3.1e-10   34.6   1.1   2   2   3.2e-05    0.0056   10.7   0.1   451   540   223   318   217   319 0.83 NZ_CP142079.1_60 # 70027 # 71001 # 1 # ID=1_60;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.309
NZ_CP142079.1:492290-493729|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   1   3     0.014       2.4    2.0   0.0   186   317    43   184    34   196 0.65 NZ_CP142079.1_410 # 492290 # 493729 # -1 # ID=1_410;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP142079.1:492290-493729|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   2   3   1.6e-09   2.7e-07   24.9   2.3   408   525   237   366   226   382 0.78 NZ_CP142079.1_410 # 492290 # 493729 # -1 # ID=1_410;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP142079.1:492290-493729|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   3   3      0.12        20   -1.1   0.1    29   128   366   470   360   473 0.52 NZ_CP142079.1_410 # 492290 # 493729 # -1 # ID=1_410;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP142079.1:303476-304717|+ -            414 539at2085            -            541   9.1e-05   16.6   0.5   1   3      0.17        29   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_CP142079.1_260 # 303476 # 304717 # 1 # ID=1_260;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_CP142079.1:303476-304717|+ -            414 539at2085            -            541   9.1e-05   16.6   0.5   2   3   1.5e-05    0.0025   11.8   0.0   153   362   133   347   119   353 0.81 NZ_CP142079.1_260 # 303476 # 304717 # 1 # ID=1_260;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_CP142079.1:303476-304717|+ -            414 539at2085            -            541   9.1e-05   16.6   0.5   3   3     0.014       2.4    2.0   0.0   411   458   361   406   353   409 0.77 NZ_CP142079.1_260 # 303476 # 304717 # 1 # ID=1_260;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/Ue273/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/Ue273/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/Ue273/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/Ue273/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/Ue273/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/Ue273/Use
# Date:            Thu Nov 28 19:22:50 2024
# [ok]
