Orthogroup	MHP_MHP653_genes	MHP_ES2L_genes
OG0000000	DR096_RS03425	HZK19_RS03960, HZK19_RS02100
OG0000000	DR096_RS04410	HZK19_RS02105
OG0000000	DR096_RS04405	HZK19_RS03685
OG0000000	DR096_RS03550	HZK19_RS02290
OG0000000	DR096_RS04445	HZK19_RS03795
OG0000000	DR096_RS03340	HZK19_RS01695
OG0000001	DR096_RS01680	HZK19_RS03720
OG0000001	DR096_RS01190	HZK19_RS02765
OG0000002	DR096_RS04810	HZK19_RS02110
OG0000002	DR096_RS04795	HZK19_RS01705
OG0000003	DR096_RS03690, DR096_RS03695	HZK19_RS01715
OG0000003	DR096_RS04435	HZK19_RS03785
OG0000003	DR096_RS04820	HZK19_RS02160
OG0000003	DR096_RS04825	HZK19_RS01800
OG0000004	DR096_RS00785	HZK19_RS02980
OG0000005	DR096_RS02575	HZK19_RS00085
OG0000005	DR096_RS04720	HZK19_RS00105
OG0000005	DR096_RS02565	HZK19_RS00090
OG0000005	DR096_RS02560	HZK19_RS00095
OG0000005	DR096_RS04715	HZK19_RS00110
OG0000006	DR096_RS04365	HZK19_RS02470
OG0000007	DR096_RS03505	HZK19_RS02155
OG0000007	DR096_RS03510	HZK19_RS02150
OG0000007	DR096_RS00630	HZK19_RS02145
OG0000008	DR096_RS04360	HZK19_RS03825
OG0000010	DR096_RS00395	HZK19_RS01810
OG0000011	DR096_RS00490	HZK19_RS03920
OG0000012	DR096_RS03685	HZK19_RS03250
OG0000012	DR096_RS03785	HZK19_RS01825
OG0000013	DR096_RS04100	HZK19_RS02370
OG0000013	DR096_RS03875	HZK19_RS03715
OG0000014	DR096_RS03315	HZK19_RS00585
OG0000014	DR096_RS04790	HZK19_RS00595
OG0000015	DR096_RS01405	HZK19_RS03870, HZK19_RS01540, HZK19_RS03105
OG0000016	DR096_RS01150	HZK19_RS02805
OG0000016	DR096_RS00345	HZK19_RS00155
OG0000017	DR096_RS00360	HZK19_RS00140
OG0000017	DR096_RS01140	HZK19_RS02815
OG0000018	DR096_RS04640	HZK19_RS01290
OG0000019	DR096_RS03940	HZK19_RS03845
OG0000020	DR096_RS03230	HZK19_RS03865, HZK19_RS03860
OG0000020	DR096_RS04775	HZK19_RS03600
OG0000021	DR096_RS03450	HZK19_RS00500
OG0000022	DR096_RS01995	HZK19_RS01625
OG0000022	DR096_RS04665	HZK19_RS01685
OG0000024	DR096_RS01490	HZK19_RS02710
OG0000024	DR096_RS01690	HZK19_RS01240
OG0000025	DR096_RS04660	HZK19_RS01630
OG0000025	DR096_RS02045	HZK19_RS01680
OG0000026	DR096_RS01600	HZK19_RS01330
OG0000026	DR096_RS02025	HZK19_RS01660
OG0000027	DR096_RS04770	HZK19_RS03390
OG0000027	DR096_RS04540	HZK19_RS03405
OG0000028	DR096_RS03495	HZK19_RS02385
OG0000028	DR096_RS01750	HZK19_RS02380
OG0000029	DR096_RS03330	HZK19_RS00600
OG0000030	DR096_RS04765	HZK19_RS03380
OG0000030	DR096_RS04535	HZK19_RS03400
OG0000032	DR096_RS04610	HZK19_RS01545
OG0000032	DR096_RS00860	HZK19_RS03395
OG0000034	DR096_RS03570	HZK19_RS03770
OG0000034	DR096_RS04455	HZK19_RS03775
OG0000035	DR096_RS03635	HZK19_RS03225
OG0000036	DR096_RS02555	HZK19_RS00100
OG0000036	DR096_RS02535	HZK19_RS03705, HZK19_RS03710
OG0000037	DR096_RS04615	HZK19_RS01550
OG0000038	DR096_RS00005	HZK19_RS03945
OG0000039	DR096_RS01385	HZK19_RS01580
OG0000042	DR096_RS00855	HZK19_RS02900
OG0000043	DR096_RS00455	HZK19_RS01875
OG0000044	DR096_RS04875	HZK19_RS03955
OG0000045	DR096_RS01390	HZK19_RS01585
OG0000046	DR096_RS04310	HZK19_RS03335
OG0000048	DR096_RS03530	HZK19_RS02065
OG0000049	DR096_RS00770	HZK19_RS02995
OG0000050	DR096_RS03020	HZK19_RS02415
OG0000051	DR096_RS02440	HZK19_RS02620
OG0000052	DR096_RS02830	HZK19_RS00075
OG0000053	DR096_RS04590	HZK19_RS01415
OG0000054	DR096_RS02995	HZK19_RS02440
OG0000055	DR096_RS02530	HZK19_RS00120
OG0000056	DR096_RS01045	HZK19_RS03580
OG0000057	DR096_RS01065	HZK19_RS02885
OG0000060	DR096_RS02295	HZK19_RS00080
OG0000061	DR096_RS00405	HZK19_RS01820
OG0000062	DR096_RS01775	HZK19_RS03630
OG0000063	DR096_RS04645	HZK19_RS03625
OG0000064	DR096_RS01760	HZK19_RS03615
OG0000065	DR096_RS02855	HZK19_RS02220
OG0000066	DR096_RS01610	HZK19_RS01320
OG0000067	DR096_RS03370	HZK19_RS00515
OG0000068	DR096_RS03280	HZK19_RS00635
OG0000069	DR096_RS01175	HZK19_RS02780
OG0000070	DR096_RS02990	HZK19_RS02445
OG0000071	DR096_RS03055	HZK19_RS03315
OG0000072	DR096_RS04730	HZK19_RS03320
OG0000073	DR096_RS02090	HZK19_RS00680
OG0000074	DR096_RS04705	HZK19_RS00875
OG0000075	DR096_RS00165	HZK19_RS00325
OG0000077	DR096_RS00060	HZK19_RS00425
OG0000078	DR096_RS02015	HZK19_RS01645
OG0000079	DR096_RS02960	HZK19_RS02525
OG0000080	DR096_RS04245	HZK19_RS02570
OG0000081	DR096_RS00170	HZK19_RS00320
OG0000082	DR096_RS01735	HZK19_RS02365
OG0000083	DR096_RS00560	HZK19_RS01985
OG0000084	DR096_RS00585	HZK19_RS02015
OG0000085	DR096_RS00590	HZK19_RS02020
OG0000086	DR096_RS00600	HZK19_RS02030
OG0000087	DR096_RS00615	HZK19_RS02045
OG0000088	DR096_RS00620	HZK19_RS02050
OG0000089	DR096_RS03525	HZK19_RS02060
OG0000090	DR096_RS02835	HZK19_RS00070
OG0000091	DR096_RS01865	HZK19_RS00055
OG0000092	DR096_RS01850	HZK19_RS00040
OG0000093	DR096_RS01845	HZK19_RS00035
OG0000094	DR096_RS01840	HZK19_RS00030
OG0000095	DR096_RS01815	HZK19_RS00005
OG0000096	DR096_RS01810	HZK19_RS03665
OG0000097	DR096_RS01790	HZK19_RS03645
OG0000098	DR096_RS01780	HZK19_RS03635
OG0000099	DR096_RS03485	HZK19_RS03585
OG0000100	DR096_RS01035	HZK19_RS03570
OG0000101	DR096_RS01030	HZK19_RS03565
OG0000102	DR096_RS02040	HZK19_RS01675
OG0000103	DR096_RS02890	HZK19_RS02185
OG0000104	DR096_RS02885	HZK19_RS02190
OG0000105	DR096_RS02870	HZK19_RS02205
OG0000106	DR096_RS02860	HZK19_RS02215
OG0000107	DR096_RS02850	HZK19_RS02225
OG0000108	DR096_RS02845	HZK19_RS02230
OG0000109	DR096_RS02840	HZK19_RS02235
OG0000110	DR096_RS01725	HZK19_RS02355
OG0000111	DR096_RS01720	HZK19_RS02350
OG0000112	DR096_RS01710	HZK19_RS02340
OG0000113	DR096_RS04785	HZK19_RS02320
OG0000114	DR096_RS03255	HZK19_RS02310
OG0000115	DR096_RS03245	HZK19_RS02300
OG0000116	DR096_RS01665	HZK19_RS01265
OG0000117	DR096_RS01660	HZK19_RS01270
OG0000118	DR096_RS01625	HZK19_RS01305
OG0000119	DR096_RS01620	HZK19_RS01310
OG0000120	DR096_RS01605	HZK19_RS01325
OG0000121	DR096_RS01580	HZK19_RS01350
OG0000122	DR096_RS01575	HZK19_RS01355
OG0000123	DR096_RS01555	HZK19_RS01375
OG0000124	DR096_RS01550	HZK19_RS01380
OG0000125	DR096_RS01545	HZK19_RS01385
OG0000126	DR096_RS01210	HZK19_RS01395
OG0000127	DR096_RS01220	HZK19_RS01405
OG0000128	DR096_RS01235	HZK19_RS01420
OG0000129	DR096_RS01240	HZK19_RS01425
OG0000130	DR096_RS01250	HZK19_RS01435
OG0000131	DR096_RS04595	HZK19_RS01465
OG0000132	DR096_RS04600	HZK19_RS01480
OG0000133	DR096_RS02600	HZK19_RS00520
OG0000134	DR096_RS02605	HZK19_RS00525
OG0000135	DR096_RS02620	HZK19_RS00540
OG0000136	DR096_RS02625	HZK19_RS00545
OG0000137	DR096_RS02665	HZK19_RS00575
OG0000138	DR096_RS03305	HZK19_RS00610
OG0000139	DR096_RS03275	HZK19_RS00640
OG0000140	DR096_RS03270	HZK19_RS00645
OG0000141	DR096_RS01055	HZK19_RS02895
OG0000142	DR096_RS04575	HZK19_RS02890
OG0000143	DR096_RS01085	HZK19_RS02870
OG0000144	DR096_RS01095	HZK19_RS02860
OG0000145	DR096_RS01105	HZK19_RS02850
OG0000146	DR096_RS01115	HZK19_RS02840
OG0000147	DR096_RS01120	HZK19_RS02835
OG0000148	DR096_RS01135	HZK19_RS02820
OG0000149	DR096_RS01145	HZK19_RS02810
OG0000150	DR096_RS01160	HZK19_RS02795
OG0000151	DR096_RS01530	HZK19_RS02750
OG0000152	DR096_RS01525	HZK19_RS02745
OG0000153	DR096_RS01520	HZK19_RS02740
OG0000154	DR096_RS01510	HZK19_RS02730
OG0000155	DR096_RS01470	HZK19_RS02690
OG0000156	DR096_RS01460	HZK19_RS02680
OG0000157	DR096_RS04635	HZK19_RS02675
OG0000158	DR096_RS04630	HZK19_RS03895
OG0000159	DR096_RS03005	HZK19_RS03970
OG0000160	DR096_RS03010	HZK19_RS02425
OG0000161	DR096_RS03015	HZK19_RS02420
OG0000162	DR096_RS03025	HZK19_RS02410
OG0000163	DR096_RS03030	HZK19_RS02405
OG0000164	DR096_RS01375	HZK19_RS01575
OG0000165	DR096_RS00480	HZK19_RS01905
OG0000166	DR096_RS00500	HZK19_RS01925
OG0000167	DR096_RS00515	HZK19_RS01940
OG0000168	DR096_RS00520	HZK19_RS01945
OG0000169	DR096_RS00775	HZK19_RS02990
OG0000170	DR096_RS00760	HZK19_RS03005
OG0000171	DR096_RS00750	HZK19_RS03110
OG0000172	DR096_RS00740	HZK19_RS03115
OG0000173	DR096_RS00735	HZK19_RS03120
OG0000174	DR096_RS00730	HZK19_RS03125
OG0000175	DR096_RS00715	HZK19_RS03140
OG0000176	DR096_RS00665	HZK19_RS03190
OG0000177	DR096_RS00660	HZK19_RS03195
OG0000178	DR096_RS00655	HZK19_RS03200
OG0000179	DR096_RS00645	HZK19_RS03210
OG0000180	DR096_RS00640	HZK19_RS03215
OG0000181	DR096_RS04745	HZK19_RS03265
OG0000182	DR096_RS03095	HZK19_RS03275
OG0000183	DR096_RS03060	HZK19_RS03310
OG0000184	DR096_RS03135	HZK19_RS03355
OG0000185	DR096_RS03120	HZK19_RS03340
OG0000186	DR096_RS04605	HZK19_RS01490
OG0000187	DR096_RS01320	HZK19_RS01505
OG0000188	DR096_RS01330	HZK19_RS01515
OG0000189	DR096_RS04750	HZK19_RS02270
OG0000190	DR096_RS03155	HZK19_RS02265
OG0000191	DR096_RS03175	HZK19_RS02245
OG0000192	DR096_RS02270	HZK19_RS01180
OG0000193	DR096_RS02285	HZK19_RS01175
OG0000194	DR096_RS02075	HZK19_RS00665
OG0000195	DR096_RS02080	HZK19_RS00670
OG0000196	DR096_RS02100	HZK19_RS00690
OG0000197	DR096_RS02105	HZK19_RS00695
OG0000198	DR096_RS02120	HZK19_RS00710
OG0000199	DR096_RS02125	HZK19_RS00715
OG0000200	DR096_RS02140	HZK19_RS00730
OG0000201	DR096_RS02150	HZK19_RS00740
OG0000202	DR096_RS02205	HZK19_RS00795
OG0000203	DR096_RS02215	HZK19_RS00800
OG0000204	DR096_RS04690	HZK19_RS00805
OG0000205	DR096_RS02315	HZK19_RS00810
OG0000206	DR096_RS02335	HZK19_RS00830
OG0000207	DR096_RS02350	HZK19_RS00845
OG0000208	DR096_RS02355	HZK19_RS00850
OG0000209	DR096_RS02360	HZK19_RS00855
OG0000210	DR096_RS02405	HZK19_RS00900
OG0000211	DR096_RS02680	HZK19_RS00910
OG0000212	DR096_RS02690	HZK19_RS00920
OG0000213	DR096_RS02695	HZK19_RS00925
OG0000214	DR096_RS02700	HZK19_RS00930
OG0000215	DR096_RS02705	HZK19_RS00935
OG0000216	DR096_RS02710	HZK19_RS00940
OG0000217	DR096_RS02715	HZK19_RS00945
OG0000218	DR096_RS02725	HZK19_RS00955
OG0000219	DR096_RS02730	HZK19_RS00960
OG0000220	DR096_RS02735	HZK19_RS00965
OG0000221	DR096_RS02740	HZK19_RS00970
